KIC,vt
5175427,st
5175436,nv
5175444,nv
5175461,nv
5175464,nv
5175481,st
5175502,nv
5175503,nv
5175514,st
5175523,nv
5175527,nv
5175538,nv
5175576,nv
5175607,st
5175621,nv
5175623,nv
5175633,nv
5175650,st
5175655,nv
5175661,nv
5175666,lt
5175667,st
5175668,eb
5175695,st
5175697,st
5175712,nv
5175734,nv
5175755,nv
5175758,nv
5175760,nv
5175788,nv
5175814,nv
5175843,nv
5175854,st
5175893,nv
5175926,mt
5175927,nv
5175929,nv
5175950,nv
5175955,nv
5175986,st
5175989,nv
5176032,mt
5176059,nv
5176067,st
5176131,nv
5176159,nv
5176161,nv
5176200,st
5176204,nv
5176205,mt
5176206,nv
5176214,mt
5176287,nv
5176289,mt
5176313,lt
5176317,nv
5176323,nv
5176344,lt
5176355,nv
5176356,nv
5176375,nv
5176379,nv
5176386,nv
5176446,nv
5176520,nv
5176531,nv
5176547,st
5176571,mt
5176581,st
5176588,mt
5176599,st
5176613,nv
5176616,nv
5176630,nv
5176633,nv
5176670,nv
5176709,nv
5176715,nv
5176729,lt
5176736,nv
5176748,nv
5176802,nv
5176899,st
5176912,nv
5176942,nv
5176981,nv
5176992,mt
5176994,mt
5177000,st
5177020,lt
5177023,nv
5177047,nv
5177053,nv
5177065,nv
5177104,nv
5177111,nv
5177145,nv
5177155,nv
5177163,nv
5177196,nv
5177208,nv
5177213,st
5177218,nv
5177283,nv
5177314,nv
5177340,st
5177443,nv
5177475,nv
5177556,nv
5177573,nv
5177591,nv
5177593,st
5177610,nv
5177648,nv
5177650,nv
5177657,nv
5177798,nv
5177834,nv
5177839,nv
5177853,nv
5177859,st
5178042,nv
5178483,lt
5178512,nv
5178518,nv
5178540,st
5178720,nv
5178770,lt
5178845,nv
5178912,nv
5178913,lt
5178918,lt
5178927,nv
5178969,lt
5178978,nv
5179066,nv
5179087,nv
5179118,nv
5179147,nv
5179162,lt
5179166,nv
5179185,nv
5179199,nv
5179232,st
5179251,nv
5179253,nv
5179328,nv
5179352,lt
5179375,nv
5179392,nv
5179396,lt
5179427,mt
5179471,mt
5179472,nv
5179481,nv
5179500,nv
5179505,nv
5179517,nv
5179537,nv
5179541,nv
5179584,nv
5179602,nv
5179606,nv
5179609,eb
5179655,nv
5179704,nv
5179711,nv
5179722,mt
5179724,st
5179744,nv
5179773,nv
5179808,nv
5179841,st
5179847,nv
5179881,nv
5179885,mt
5179887,nv
5179946,nv
5179965,st
5179979,nv
5180017,nv
5180026,nv
5180031,nv
5180038,mt
5180050,nv
5180052,nv
5180114,st
5180156,st
5180219,st
5180232,nv
5180305,nv
5180332,nv
5180345,nv
5180358,nv
5180364,nv
5180370,nv
5180418,nv
5180524,nv
5180528,nv
5180533,nv
5180568,st
5180613,lt
5180686,nv
5180718,nv
5180727,st
5180761,mt
5180783,nv
5180796,mt
5180815,lt
5180868,nv
5180877,nv
5180885,st
5180982,nv
5180996,mt
5181029,lt
5181086,nv
5181100,nv
5181108,nv
5181111,st
5181177,nv
5181199,lt
5181266,nv
5181282,nv
5181288,mt
5181299,nv
5181346,nv
5181349,mt
5181358,st
5181420,nv
5181455,eb
5181473,nv
5181492,nv
5181545,nv
5181547,st
5181566,nv
5181576,nv
5181578,nv
5181591,nv
5181600,nv
5181601,st
5181631,nv
5181633,mt
5181651,lt
5181664,lt
5181698,lt
5181740,nv
5181762,st
5181782,nv
5181804,eb
5181810,lt
5181817,nv
5181824,nv
5181838,nv
5181839,nv
5181857,nv
5181858,nv
5181871,lt
5181919,nv
5181930,nv
5181946,nv
5181964,st
5181985,nv
5182034,nv
5182046,nv
5182073,nv
5182126,nv
5182131,st
5182135,st
5182156,nv
5182188,nv
5182272,nv
5182286,st
5182317,st
5182328,nv
5182428,nv
5182430,nv
5182446,nv
5182447,nv
5182451,nv
5182476,nv
5182489,lt
5182500,nv
5182537,nv
5182590,nv
5182604,nv
5182648,nv
5182688,nv
5182707,nv
5182711,st
5182718,nv
5182739,nv
5182752,nv
5182784,nv
5182799,st
5182809,mt
5182822,st
5182832,nv
5182856,mt
5182876,mt
5182906,nv
5182915,nv
5182946,nv
5182963,nv
5182974,nv
5183031,nv
5183039,st
5183138,nv
5183149,nv
5183169,nv
5183189,nv
5183190,nv
5183236,nv
5183254,nv
5183290,nv
5183310,nv
5183312,nv
5183325,nv
5183327,nv
5183357,nv
5183364,nv
5183369,nv
5183416,lt
5183442,nv
5183485,nv
5183507,nv
5183516,nv
5183518,nv
5183524,nv
5183536,nv
5183543,nv
5183547,nv
5183563,nv
5183568,lt
5183572,nv
5183581,st
5183582,nv
5183590,nv
5183591,nv
5183611,nv
5183630,st
5183662,st
5183698,lt
5183721,nv
5183722,nv
5183729,nv
5183801,st
5183828,nv
5183850,nv
5183855,nv
5183869,nv
5183935,nv
5183944,nv
5183952,st
5184017,lt
5184018,nv
5184024,nv
5184060,nv
5184073,lt
5184087,lt
5184088,nv
5184144,nv
5184188,nv
5184199,nv
5184209,nv
5184211,nv
5184256,st
5184272,st
5184276,mt
5184283,st
5184285,st
5184292,nv
5184295,st
5184308,nv
5184355,nv
5184359,lt
5184384,nv
5184427,nv
5184469,nv
5184472,nv
5184479,lt
5184495,st
5184498,st
5184500,lt
5184510,st
5184526,nv
5184528,nv
5184537,nv
5184578,nv
5184584,nv
5184616,nv
5184618,nv
5184620,nv
5184693,nv
5184709,nv
5184732,nv
5184740,nv
5184761,nv
5184772,nv
5184806,lt
5184809,nv
5184826,nv
5184829,nv
5184832,nv
5184842,nv
5184858,nv
5184862,lt
5184863,nv
5184881,nv
5184882,nv
5184911,st
5184938,nv
5184965,nv
5185002,nv
5185046,nv
5185049,nv
5185057,st
5185067,st
5185105,lt
5185123,nv
5185153,nv
5185228,nv
5185252,nv
5185309,st
5185321,nv
5185328,nv
5185338,st
5185349,lt
5185370,nv
5185408,st
5185467,nv
5185481,nv
5185509,st
5185516,lt
5185521,nv
5185528,nv
5185534,nv
5185561,nv
5185609,st
5185642,nv
5185653,lt
5185664,nv
5185697,nv
5185705,nv
5185728,nv
5185732,nv
5185743,nv
5185761,nv
5185765,lt
5185768,nv
5185778,nv
5185780,nv
5185799,nv
5185820,nv
5185824,nv
5185834,mt
5185845,st
5185856,nv
5185859,nv
5185872,nv
5185874,nv
5185897,st
5185901,nv
5185968,nv
5185991,nv
5185995,mt
5186016,nv
5186036,nv
5186066,nv
5186067,st
5186075,st
5186098,nv
5186104,nv
5186109,nv
5186152,nv
5186168,st
5186207,nv
5186211,nv
5186257,nv
5186272,mt
5186318,nv
5186335,lt
5186354,nv
5186355,nv
5186368,nv
5186378,nv
5186412,nv
5186496,nv
5186529,nv
5206128,nv
5206163,nv
5206233,nv
5206282,st
5206330,nv
5206349,nv
5206384,nv
5206473,nv
5206499,mt
5206635,nv
5206643,mt
5206697,nv
5206737,st
5206758,st
5206767,nv
5206798,nv
5206817,nv
5206845,nv
5206856,nv
5206874,nv
5207064,nv
5207114,nv
5207144,lt
5207224,nv
5207255,nv
5207265,lt
5207271,nv
5207272,nv
5207280,nv
5207287,nv
5207289,st
5207294,nv
5207308,nv
5207309,nv
5207415,nv
5207446,nv
5207626,nv
5207655,mt
5207671,st
5207689,nv
5207710,st
5207828,nv
5207889,mt
5207905,nv
5207907,mt
5207966,nv
5208056,lt
5208061,lt
5208069,mt
5208074,nv
5208115,st
5208171,st
5208177,st
5208211,lt
5208343,nv
5208350,lt
5208415,nv
5208432,nv
5208448,nv
5208456,st
5208482,nv
5208679,nv
5208721,nv
5208722,st
5208749,nv
5208802,mt
5208819,st
5208891,nv
5208895,nv
5208927,nv
5208962,nv
5209040,nv
5209073,st
5209115,nv
5209208,st
5209214,st
5209216,st
5209218,nv
5209234,st
5209257,lt
5209299,nv
5209334,nv
5209378,nv
5209450,st
5209477,nv
5209604,nv
5209632,nv
5209669,nv
5209689,mt
5209712,nv
5209732,nv
5209845,nv
5209910,nv
5209916,nv
5209980,nv
5210011,nv
5210014,nv
5210045,nv
5210066,nv
5210078,mt
5210109,nv
5210152,nv
5210153,st
5210431,st
5210475,nv
5210501,nv
5210502,nv
5210507,nv
5210533,nv
5210596,nv
5210624,lt
5210637,st
5210681,mt
5210786,mt
5210788,nv
5210791,nv
5210796,nv
5210917,nv
5210932,lt
5210977,nv
5210990,nv
5211007,nv
5211054,st
5211081,nv
5211083,nv
5211089,st
5211111,nv
5211115,nv
5211116,nv
5211199,mt
5211220,nv
5211262,nv
5211281,lt
5211310,nv
5211363,nv
5211385,eb
5211434,nv
5211460,st
5211470,eb
5211564,nv
5211598,nv
5211626,nv
5211631,nv
5211634,st
5211644,st
5211708,nv
5211720,lt
5211724,st
5211725,nv
5211742,nv
5211806,lt
5211811,nv
5211874,nv
5211922,st
5212037,nv
5212062,nv
5212070,nv
5212123,nv
5212174,st
5212188,nv
5212191,nv
5212220,nv
5212286,nv
5212290,nv
5212312,nv
5212333,nv
5212336,nv
5212374,nv
5212384,lt
5212448,nv
5212464,st
5212472,nv
5212506,st
5212569,nv
5212661,nv
5212670,nv
5212696,nv
5212725,nv
5212786,nv
5212789,nv
5212828,nv
5212836,st
5212857,nv
5212865,nv
5212888,lt
5212916,nv
5212948,nv
5213005,nv
5213040,nv
5213049,nv
5213053,mt
5213089,nv
5213092,nv
5213139,nv
5213142,st
5213157,nv
5213221,nv
5213248,st
5213274,nv
5213320,nv
5213330,nv
5213362,nv
5213377,nv
5213402,st
5213404,nv
5213451,lt
5213459,st
5213466,eb
5213474,nv
5213511,nv
5213512,nv
5213532,nv
5213542,st
5213792,nv
5213811,nv
5213816,nv
5213824,nv
5213864,st
5213875,nv
5213894,nv
5213902,nv
5213920,nv
5213921,st
5213946,nv
5213950,nv
5213961,st
5213979,lt
5213987,nv
5214012,nv
5214140,nv
5214214,lt
5214239,nv
5214241,nv
5214255,nv
5214262,nv
5214286,nv
5214334,nv
5214421,nv
5214444,st
5214446,nv
5214473,nv
5214512,nv
5214604,st
5214652,nv
5214670,nv
5214711,lt
5214750,st
5214781,nv
5214785,nv
5214862,nv
5214948,nv
5214951,nv
5215024,st
5215031,st
5215054,st
5215083,nv
5215099,nv
5215180,nv
5215183,nv
5215195,nv
5215209,nv
5215225,nv
5215232,nv
5215233,nv
5215245,nv
5215251,nv
5215283,mt
5215305,mt
5215367,st
5215420,nv
5215439,nv
5215458,lt
5215465,nv
5215494,nv
5215495,nv
5215508,lt
5215549,nv
5215565,nv
5215568,nv
5215576,nv
5215658,nv
5215669,st
5215672,nv
5215699,nv
5215700,eb
5215718,nv
5215758,lt
5215820,lt
5215863,st
5215867,nv
5215931,lt
5215966,nv
5215980,st
5215999,eb
5216008,nv
5216053,nv
5216060,nv
5216078,nv
5216092,lt
5216095,mt
5216146,nv
5216148,nv
5216194,nv
5216220,mt
5216268,nv
5216309,nv
5216359,nv
5216366,nv
5216390,nv
5216432,nv
5216455,mt
5216482,mt
5216649,nv
5216662,nv
5216664,nv
5216733,nv
5216763,nv
5216777,st
5216791,nv
5216870,nv
5216877,nv
5216883,nv
5216891,nv
5217000,nv
5217007,nv
5217018,nv
5217088,nv
5217106,st
5217120,mt
5217155,nv
5217160,nv
5217206,nv
5217286,st
5217288,nv
5217324,nv
5217348,nv
5217379,nv
5217419,nv
5217434,nv
5217436,lt
5217497,st
5217512,nv
5217515,nv
5217574,st
5217586,eb
5217688,nv
5217728,lt
5217781,eb
5217791,nv
5217796,nv
5217805,nv
5217826,nv
5217845,nv
5217850,st
5217870,nv
5217891,nv
5217902,nv
5217910,nv
5217928,nv
5217984,nv
5218014,eb
5218022,nv
5218052,lt
5218053,nv
5218061,nv
5218098,nv
5218105,nv
5218109,nv
5218111,st
5218113,nv
5218116,nv
5218209,st
5218236,nv
5218259,lt
5218333,lt
5218365,st
5218385,eb
5218438,st
5218441,eb
5218486,st
5218501,mt
5218561,nv
5218618,lt
5218626,nv
5218751,mt
5218752,nv
5218755,st
5218779,st
5218815,st
5218835,lt
5218842,st
5218848,nv
5218871,nv
5218928,st
5218930,nv
5218947,nv
5218950,nv
5218957,nv
5219001,nv
5219040,nv
5219046,nv
5219067,nv
5219084,st
5219105,nv
5219135,st
5219151,nv
5219189,nv
5219207,nv
5219234,nv
5219236,lt
5219254,nv
5219261,nv
5219312,mt
5219355,st
5219465,nv
5219484,nv
5219512,lt
5219529,st
5219530,lt
5219533,nv
5219621,st
5219636,nv
5219637,nv
5219662,nv
5219663,nv
5219664,nv
5219666,st
5219691,nv
5219735,st
5219738,mt
5219745,nv
5219751,st
5219767,st
5219773,lt
5219774,nv
5219779,nv
5219787,nv
5219798,nv
5219815,nv
5219824,nv
5219825,nv
5219913,nv
5219915,nv
5219921,nv
5219922,st
5219938,nv
5219979,nv
5219986,nv
5219998,nv
5220009,nv
5220019,nv
5220051,nv
5220061,nv
5220084,nv
5220107,nv
5220115,nv
5220126,nv
5220137,nv
5220155,nv
5220201,nv
5220281,nv
5220308,nv
5220311,nv
5220315,nv
5220352,nv
5220357,nv
5220417,nv
5220427,mt
5220470,nv
5220487,nv
5220521,nv
5220528,nv
5220531,st
5220682,nv
5220759,mt
5220762,lt
5220765,nv
5220907,st
5220976,st
5220979,mt
5221066,nv
5221138,nv
5259684,nv
5259835,nv
5259844,nv
5259926,eb
5259941,nv
5260034,nv
5260050,nv
5260058,st
5260103,mt
5260148,lt
5260157,nv
5260180,st
5260184,nv
5260210,lt
5260220,nv
5260350,mt
5260358,nv
5260359,nv
5260363,nv
5260380,st
5260382,nv
5260403,nv
5260419,nv
5260431,nv
5260433,nv
5260476,nv
5260510,nv
5260560,nv
5262313,nv
5262367,nv
5262405,nv
5262474,nv
5262527,mt
5262539,nv
5262543,nv
5262560,nv
5262561,nv
5262577,lt
5262580,nv
5262610,lt
5262641,nv
5262650,nv
5262663,nv
5262664,st
5262674,nv
5262687,nv
5262696,nv
5262701,lt
5262724,st
5262730,nv
5262731,st
5262733,nv
5262739,nv
5262755,nv
5262768,nv
5262779,st
5262788,mt
5262790,nv
5262811,nv
5262816,lt
5262820,nv
5262835,mt
5262857,lt
5262880,nv
5262885,mt
5262899,nv
5262912,nv
5262939,st
5262944,nv
5262993,nv
5262996,nv
5263007,nv
5263078,nv
5263082,nv
5263085,nv
5263088,nv
5263121,nv
5263143,nv
5263150,mt
5263167,nv
5263183,nv
5263192,nv
5263194,nv
5263278,nv
5263330,nv
5263331,nv
5263377,nv
5263507,nv
5263508,nv
5263530,nv
5263537,nv
5263545,nv
5263571,nv
5263628,nv
5263643,lt
5263650,nv
5263676,nv
5263687,nv
5263722,nv
5263732,nv
5263749,nv
5263759,nv
5263766,st
5263767,lt
5263770,nv
5263777,lt
5263790,nv
5263802,eb
5263815,nv
5263823,st
5263836,nv
5263851,nv
5263899,nv
5263931,nv
5263974,nv
5263990,lt
5263998,nv
5264006,nv
5264013,st
5264032,nv
5264033,nv
5264044,nv
5264059,nv
5264083,nv
5264213,nv
5264260,nv
5264285,nv
5264304,eb
5264306,nv
5264311,nv
5264312,nv
5264373,st
5264376,nv
5264392,nv
5264401,lt
5264406,nv
5264409,nv
5264439,nv
5264460,nv
5264461,st
5264481,nv
5264482,nv
5264520,lt
