KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
11769739,0.2524728,0.0000001,54964.65986,0.014623,0.77,82.6823,13.1342,15.033,5136,FALSE
4138301,0.2533791,0.0000001,54964.68522,0.015875,0.9,69.7502,14.8833,14.697,5132,FALSE
9478836,0.2540637,0.0000001,55002.13251,0.01185,0.71,79.7348,10.2589,15.218,4939,FALSE
12508348,0.2556047,0.0000001,54951.66078,0.014908,0.97,82.7273,16.6052,13.428,8961,FALSE
5685072,0.2559051,0.0000002,54964.62651,0.01287,0.73,70.9453,16.663,13.187,4626,FALSE
3839964,0.2561499,0.0000001,54964.79143,0.016135,0.8,70.4116,12.7856,14.602,5332,FALSE
12598713,0.257179,0.0000001,54953.67439,0.014574,0.94,82.5187,17.8034,12.762,5189,FALSE
9700154,0.2572534,0.0000001,54964.78893,0.016893,0.8,77.0291,16.7085,15.495,4315,FALSE
9662581,0.2580109,0.0000002,55002.11622,0.015322,0.79,80.0548,10.4505,15.808,4773,FALSE
9777987,0.2585001,0.0000004,55000.06755,0.032309,0.76,79.4699,11.7773,16.283,-1,FALSE
2856960,0.2585073,0.0000001,54964.65851,0.00731,0.64,71.0098,9.5159,15.615,4733,TRUE
5611561,0.2586947,0.0000002,55000.00942,0.014541,0.75,72.4708,12.9444,13.971,-1,FALSE
7339345,0.2596643,0.0000001,54964.7772,0.01378,0.76,72.5365,18.1839,15.2,4877,FALSE
9288175,0.2609349,0.0000001,54964.7408,0.014553,0.99,78.7476,11.5,12.549,6972,FALSE
9392331,0.2617622,0.0000002,55000.33963,0.015183,0.77,76.3562,17.1871,15.699,5993,FALSE
9239684,0.2618159,0.0000001,54964.79015,0.014846,0.99,80.0592,8.8409,12.578,5827,FALSE
12004834,0.2623168,0.0000001,55002.041,0.007446,0.63,80.911,18.3801,14.718,3576,TRUE
11284547,0.2624405,0.0000001,54964.53498,0.014846,0.96,78.9896,19.1803,15.45,5117,FALSE
8045121,0.2631774,0.0000001,54953.76122,0.014854,1,77.8672,9.1406,11.971,6990,FALSE
6106771,0.2638263,0.0000002,54964.61667,0.015617,0.77,71.8775,15.6716,15.491,5559,FALSE
10557008,0.2654186,0.0000002,54964.63701,0.015123,0.8,82.0258,9.7163,14.662,5088,FALSE
5785551,0.2666875,0.0000002,55002.01929,0.013822,0.74,72.9526,12.4258,15.094,5034,FALSE
9388303,0.2667035,0.0000002,55002.00221,0.014314,0.78,75.7092,18.6204,15.551,5385,FALSE
5773205,0.2668707,0.0000017,55000.12327,0.012056,0.62,71.464,15.6744,19.742,-1,FALSE
